
Start NMF for gFN using PyTorch at 2023-09-03 08:34:20

    Iter = 47: LogL: 1155243.3667453611, dataFit: 930677.389768309, spaLap: 30590.76721783552, L21: 193975.20975921664, ardU: 0
    Iter = 48: LogL: 1155173.7015488965, dataFit: 930600.8359729983, spaLap: 30599.58826388741, L21: 193973.2773120108, ardU: 0
    Iter = 49: LogL: 1155098.2881153543, dataFit: 930519.6617013913, spaLap: 30607.42818937343, L21: 193971.19822458967, ardU: 0
    Iter = 50: LogL: 1155016.9124455922, dataFit: 930432.0498613163, spaLap: 30615.9068316443, L21: 193968.9557526317, ardU: 0
    Iter = 51: LogL: 1154928.9304472217, dataFit: 930337.5345448124, spaLap: 30624.858324486333, L21: 193966.53757792292, ardU: 0
    Iter = 52: LogL: 1154832.970243622, dataFit: 930235.3652087229, spaLap: 30633.676886650086, L21: 193963.92814824914, ardU: 0
    Iter = 53: LogL: 1154730.7983293394, dataFit: 930124.1640160629, spaLap: 30645.527108047372, L21: 193961.1072052292, ardU: 0
    Iter = 54: LogL: 1154622.4497292102, dataFit: 930004.9241693822, spaLap: 30659.455120844974, L21: 193958.0704389831, ardU: 0
    Iter = 55: LogL: 1154507.596209006, dataFit: 929877.6755699571, spaLap: 30675.110650086805, L21: 193954.80998896202, ardU: 0
    Iter = 56: LogL: 1154385.8582700305, dataFit: 929742.2087876108, spaLap: 30692.333786257805, L21: 193951.3156961619, ardU: 0
    Iter = 57: LogL: 1154256.8172248383, dataFit: 929598.1743618582, spaLap: 30711.067211627986, L21: 193947.57565135224, ardU: 0
    Iter = 58: LogL: 1154120.0188300468, dataFit: 929445.1445680525, spaLap: 30731.297784436978, L21: 193943.57647755733, ardU: 0
    Iter = 59: LogL: 1153974.9743605154, dataFit: 929282.6273741454, spaLap: 30753.043559018057, L21: 193939.3034273518, ardU: 0
    Iter = 60: LogL: 1153821.160474307, dataFit: 929110.0774466998, spaLap: 30776.34260480453, L21: 193934.7404228025, ardU: 0
    Iter = 61: LogL: 1153658.018232439, dataFit: 928926.8998474388, spaLap: 30801.248332675816, L21: 193929.87005232426, ardU: 0
    Iter = 62: LogL: 1153484.9517123827, dataFit: 928732.4519267303, spaLap: 30827.826243071035, L21: 193924.67354258127, ardU: 0
    Iter = 63: LogL: 1153301.3262817974, dataFit: 928526.04340514, spaLap: 30856.152164529238, L21: 193919.13071212807, ardU: 0
    Iter = 64: LogL: 1153106.4666518676, dataFit: 928306.9355920287, spaLap: 30886.311148456098, L21: 193913.21991138285, ardU: 0
    Iter = 65: LogL: 1152899.6547382835, dataFit: 928074.3399297443, spaLap: 30918.3968569559, L21: 193906.91795158316, ardU: 0
    Iter = 66: LogL: 1152680.1273669172, dataFit: 927827.4160964391, spaLap: 30952.51124615269, L21: 193900.20002432537, ardU: 0
    Iter = 67: LogL: 1152447.0738386018, dataFit: 927565.2697672562, spaLap: 30988.76445862873, L21: 193893.03961271685, ardU: 0
    Iter = 68: LogL: 1152199.439873446, dataFit: 927286.950113063, spaLap: 31027.08136564206, L21: 193885.4083947408, ardU: 0
    Iter = 69: LogL: 1151934.9220266612, dataFit: 926991.2912080614, spaLap: 31066.35570368506, L21: 193877.27511491478, ardU: 0
    Iter = 70: LogL: 1151642.2148434734, dataFit: 926676.0757188408, spaLap: 31097.539473286706, L21: 193868.5996513459, ardU: 0
    Iter = 71: LogL: 1151328.2373459488, dataFit: 926331.2343818315, spaLap: 31137.71014845808, L21: 193859.29281565928, ardU: 0
    Iter = 72: LogL: 1150994.9820152537, dataFit: 925960.9582931583, spaLap: 31184.696611801453, L21: 193849.3271102941, ardU: 0
    Iter = 73: LogL: 1150641.2964657664, dataFit: 925566.1431133483, spaLap: 31236.479896376484, L21: 193838.67345604175, ardU: 0
    Iter = 74: LogL: 1150265.8617123987, dataFit: 925146.1579584968, spaLap: 31292.410958473814, L21: 193827.29279542796, ardU: 0
    Iter = 75: LogL: 1149865.8074231786, dataFit: 924699.8324778716, spaLap: 31350.835295251683, L21: 193815.1396500555, ardU: 0
    Iter = 76: LogL: 1149440.8532811198, dataFit: 924224.444111442, spaLap: 31414.254103870917, L21: 193802.1550658071, ardU: 0
    Iter = 77: LogL: 1148986.0920974035, dataFit: 923719.2989943202, spaLap: 31478.507331912097, L21: 193788.28577117113, ardU: 0
    Iter = 78: LogL: 1148501.5113193667, dataFit: 923179.8724263179, spaLap: 31548.182997486285, L21: 193773.4558955626, ardU: 0
    Iter = 79: LogL: 1147983.426604158, dataFit: 922605.337392641, spaLap: 31620.48836928905, L21: 193757.600842228, ardU: 0
    Iter = 80: LogL: 1147431.5431898714, dataFit: 921991.9450950257, spaLap: 31698.959244381447, L21: 193740.63885046428, ardU: 0
    Iter = 81: LogL: 1146836.866944306, dataFit: 921338.6326782604, spaLap: 31775.738185605354, L21: 193722.49608044038, ardU: 0
    Iter = 82: LogL: 1146204.5772536003, dataFit: 920637.1640202072, spaLap: 31864.35246402917, L21: 193703.06076936406, ardU: 0
    Iter = 83: LogL: 1145533.0085921048, dataFit: 919890.621348756, spaLap: 31960.123913610183, L21: 193682.26332973855, ardU: 0
    Iter = 84: LogL: 1144819.6882189636, dataFit: 919096.813785672, spaLap: 32062.85944348246, L21: 193660.01498980913, ardU: 0
    Iter = 85: LogL: 1144061.8380449822, dataFit: 918253.5341259579, spaLap: 32172.08620034577, L21: 193636.21771867847, ardU: 0
    Iter = 86: LogL: 1143256.0312115222, dataFit: 917357.8328468153, spaLap: 32287.435392528605, L21: 193610.76297217817, ardU: 0
    Iter = 87: LogL: 1142399.5619173613, dataFit: 916406.1549091828, spaLap: 32409.876818103367, L21: 193583.53019007496, ardU: 0
    Iter = 88: LogL: 1141486.268963536, dataFit: 915395.2848152785, spaLap: 32536.59062412954, L21: 193554.39352412778, ardU: 0
    Iter = 89: LogL: 1140508.359855408, dataFit: 914319.0244369116, spaLap: 32666.134526183967, L21: 193523.20089231234, ardU: 0
    Iter = 90: LogL: 1139469.188051302, dataFit: 913169.3765047953, spaLap: 32810.03845982153, L21: 193489.7730866852, ardU: 0
    Iter = 91: LogL: 1138356.75894671, dataFit: 911947.7518352433, spaLap: 32955.03372546438, L21: 193453.97338600215, ardU: 0
    Iter = 92: LogL: 1137171.1750934036, dataFit: 910643.0010921261, spaLap: 33112.57385956772, L21: 193415.60014170955, ardU: 0
    Iter = 93: LogL: 1135912.469519322, dataFit: 909253.8943670974, spaLap: 33284.094644030854, L21: 193374.48050819396, ardU: 0
    Iter = 94: LogL: 1134576.2014666963, dataFit: 907778.9757930877, spaLap: 33466.78385814996, L21: 193330.44181545856, ardU: 0
    Iter = 95: LogL: 1133148.5258272327, dataFit: 906213.9468739843, spaLap: 33651.28908940674, L21: 193283.28986384164, ardU: 0
    Iter = 96: LogL: 1131622.0526266135, dataFit: 904546.3919813237, spaLap: 33842.89274954291, L21: 193232.7678957471, ardU: 0
    Iter = 97: LogL: 1129986.8458741321, dataFit: 902768.2246091538, spaLap: 34040.045113665394, L21: 193178.57615131303, ardU: 0
    Iter = 98: LogL: 1128249.8789186075, dataFit: 900867.3965181794, spaLap: 34262.140610367795, L21: 193120.34179006028, ardU: 0
    Iter = 99: LogL: 1126405.9608295793, dataFit: 898847.4434171313, spaLap: 34500.67909304423, L21: 193057.83831940359, ardU: 0
    Iter = 100: LogL: 1124449.1267352677, dataFit: 896703.5053729576, spaLap: 34754.82693998539, L21: 192990.79442232475, ardU: 0
    Iter = 101: LogL: 1122374.2548240277, dataFit: 894430.3642550888, spaLap: 35024.971559496866, L21: 192918.91900944186, ardU: 0
