
Start NMF for gFN using NumPy at 2023-08-29 10:32:54

    Iter = 47: LogL: 1155106.5315000373, dataFit: 930529.9431033316, spaLap: 30608.443338606678, L21: 193968.14505809886, ardU: 0
    Iter = 48: LogL: 1155013.4041895631, dataFit: 930427.8911442488, spaLap: 30620.00631673483, L21: 193965.50672857938, ardU: 0
    Iter = 49: LogL: 1154914.3808654111, dataFit: 930318.836137343, spaLap: 30632.883567768935, L21: 193962.66116029938, ardU: 0
    Iter = 50: LogL: 1154809.0450327212, dataFit: 930202.4044442412, spaLap: 30647.044048319665, L21: 193959.59654016056, ardU: 0
    Iter = 51: LogL: 1154696.949200758, dataFit: 930078.1399577457, spaLap: 30662.509388265513, L21: 193956.2998547469, ardU: 0
    Iter = 52: LogL: 1154577.6140820633, dataFit: 929945.5443736386, spaLap: 30679.31274202596, L21: 193952.75696639865, ardU: 0
    Iter = 53: LogL: 1154447.0443747272, dataFit: 929804.0721152505, spaLap: 30694.019685231888, L21: 193948.9525742449, ardU: 0
    Iter = 54: LogL: 1154307.2509516694, dataFit: 929650.2311140063, spaLap: 30712.16694096376, L21: 193944.8528966994, ardU: 0
    Iter = 55: LogL: 1154158.3716700957, dataFit: 929485.1072480639, spaLap: 30732.81968585661, L21: 193940.44473617527, ardU: 0
    Iter = 56: LogL: 1153993.225182325, dataFit: 929308.512505633, spaLap: 30749.000284427675, L21: 193935.71239226425, ardU: 0
    Iter = 57: LogL: 1153813.8321507107, dataFit: 929114.6110481053, spaLap: 30768.620181970207, L21: 193930.60092063522, ardU: 0
    Iter = 58: LogL: 1153618.0400595772, dataFit: 928903.9973044683, spaLap: 30788.95667581365, L21: 193925.08607929508, ardU: 0
    Iter = 59: LogL: 1153409.4903719109, dataFit: 928674.2748175887, spaLap: 30816.081315802963, L21: 193919.13423851924, ardU: 0
    Iter = 60: LogL: 1153185.6499011249, dataFit: 928428.0372148111, spaLap: 30844.878074159413, L21: 193912.73461215443, ardU: 0
    Iter = 61: LogL: 1152947.0626174654, dataFit: 928163.159525606, spaLap: 30878.048462861334, L21: 193905.85462899794, ardU: 0
    Iter = 62: LogL: 1152692.605511125, dataFit: 927879.9882924192, spaLap: 30914.14683943562, L21: 193898.47037927012, ardU: 0
    Iter = 63: LogL: 1152421.416795116, dataFit: 927577.3784040206, spaLap: 30953.488378783466, L21: 193890.5500123119, ardU: 0
    Iter = 64: LogL: 1152132.439243552, dataFit: 927254.430130711, spaLap: 30995.949446576305, L21: 193882.0596662647, ardU: 0
    Iter = 65: LogL: 1151824.4360235457, dataFit: 926909.957598411, spaLap: 31041.516672583453, L21: 193872.96175255126, ardU: 0
    Iter = 66: LogL: 1151496.0716192368, dataFit: 926542.6000005634, spaLap: 31090.25680309664, L21: 193863.2148155768, ardU: 0
    Iter = 67: LogL: 1151145.5470682108, dataFit: 926150.8453976897, spaLap: 31141.928077525412, L21: 193852.77359299554, ardU: 0
    Iter = 68: LogL: 1150771.257643673, dataFit: 925732.7572368282, spaLap: 31196.913489515475, L21: 193841.58691732935, ardU: 0
    Iter = 69: LogL: 1150371.16107395, dataFit: 925286.4569416835, spaLap: 31255.103917304357, L21: 193829.600214962, ardU: 0
    Iter = 70: LogL: 1149940.3596116167, dataFit: 924809.6371208327, spaLap: 31313.968972876326, L21: 193816.7535179076, ardU: 0
    Iter = 71: LogL: 1149479.840784472, dataFit: 924297.6389560326, spaLap: 31379.234619916548, L21: 193802.96720852266, ardU: 0
    Iter = 72: LogL: 1148986.5607448164, dataFit: 923750.1870048768, spaLap: 31448.193518356216, L21: 193788.1802215834, ardU: 0
    Iter = 73: LogL: 1148457.3847969691, dataFit: 923163.9849961912, spaLap: 31521.082512498884, L21: 193772.31728827913, ardU: 0
    Iter = 74: LogL: 1147892.4933155503, dataFit: 922535.7686697813, spaLap: 31601.428718765983, L21: 193755.29592700306, ardU: 0
    Iter = 75: LogL: 1147289.4817038747, dataFit: 921864.7936824657, spaLap: 31687.647276983087, L21: 193737.0407444258, ardU: 0
    Iter = 76: LogL: 1146643.0005129972, dataFit: 921148.3666077477, spaLap: 31777.168980869603, L21: 193717.46492437972, ardU: 0
    Iter = 77: LogL: 1145947.9607810907, dataFit: 920381.3207647457, spaLap: 31870.17757856125, L21: 193696.46243778366, ardU: 0
    Iter = 78: LogL: 1145201.9305450122, dataFit: 919558.2461837776, spaLap: 31969.768618753053, L21: 193673.9157424816, ardU: 0
    Iter = 79: LogL: 1144399.4504607853, dataFit: 918676.0648634164, spaLap: 32073.682706138276, L21: 193649.70289123067, ardU: 0
    Iter = 80: LogL: 1143529.516618961, dataFit: 917728.5194400194, spaLap: 32177.320656634223, L21: 193623.67652230745, ardU: 0
